site,plotid,year,pre_post_fire,postTime,azimuth,intersect_cm,large_cm,small_cm,length_m,decay,FieldNotes,project,species,slope
calaveras,BigTrees25,2020,prefire,"",0,9,10,8.5,0.9,2,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,10,10,8,1,1,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,11,11,9,1.1,1,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,11,15,10,1.7,1,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,110,130,35,47,3,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,14,14,12,0.9,2,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,22,27,14,1.34,2,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,8,9,5,1,4,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,8.9,8.5,8,1,1,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",180,86,130,36,47,3,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",270,130,130,36,47,3,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",270,20,21,19,2.2,3,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",270,47,44,32,0.9,3,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",270,8,12,7.5,1.9,2,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",270,9,10.5,8,2,3,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",90,11,11,4,1.9,2,"",CPFMP,,
calaveras,BigTrees25,2020,prefire,"",90,80,130,36,47,3,"",CPFMP,,
calaveras,BigTrees27,2020,prefire,"",0,20.5,43,14.5,13.3,3,"",CPFMP,,
calaveras,BigTrees27,2020,prefire,"",180,11,11,6,2.5,3,"",CPFMP,,
calaveras,BigTrees27,2020,prefire,"",180,25.5,35.5,59,27.9,3,"",CPFMP,,
calaveras,BigTrees27,2020,prefire,"",270,27.5,59,35.5,27.9,3,"",CPFMP,,
calaveras,BigTrees27,2020,prefire,"",90,10.5,12.5,1,3.7,1,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",0,25,33.4,3,20,1,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",180,16.8,22,11.1,7,1,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",180,33.6,34,20,10,1,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",270,11.1,13,11,2,3,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",270,25,33.4,3,20,1,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",270,32,63,5.6,3,5,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",90,14.5,15,4.2,2,3,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",90,16.8,22,11.1,7,1,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",90,17.3,21,18,2,4,"",CPFMP,,
calaveras,BigTrees28,2020,prefire,"",90,22,23,3.6,2.5,4,"",CPFMP,,
calaveras,BigTrees29,2020,prefire,"",0,10,12,9,0.9,3,"",CPFMP,,
calaveras,BigTrees29,2020,prefire,"",0,10.5,10,8.5,0.7,3,"",CPFMP,,
calaveras,BigTrees29,2020,prefire,"",0,28,46.5,18,13.6,2,"",CPFMP,,
calaveras,BigTrees29,2020,prefire,"",0,9.5,13.5,8,0.6,3,"",CPFMP,,
calaveras,BigTrees29,2020,prefire,"",180,30,82,8.5,40,3,"",CPFMP,,
calaveras,BigTrees29,2020,prefire,"",270,58,72,26,44.95,3,"",CPFMP,,
calaveras,BigTrees29,2020,prefire,"",270,80,130,50,35,3,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",0,20,24.6,19,3.5,1,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",180,25,26,20,5,5,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",180,9.3,25,1,11,1,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",270,12.4,26,3,18,1,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",270,67.8,101,20,45,1,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",270,69,105,45,37,1,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",90,22,20,18,3,3,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",90,22,22,20,3.5,2,"",CPFMP,,
calaveras,BigTrees30,2020,prefire,"",90,9.3,25,1,11,1,"",CPFMP,,
calaveras,BigTrees31,2020,prefire,"",180,18,23,13,4,5,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",0,14.5,18,11.5,4.3,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",0,23.5,37,1,20.3,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",0,8.5,10,5,2.9,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",180,15.5,8.5,14,9,4,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",180,16,16,14,4,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",180,19.5,22,21,9.9,4,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",180,48.5,46,33,10.8,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",270,17,16.5,1,12.6,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",270,18,16,14,4,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",270,18,25,14.5,5.6,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",270,19,36.5,11.5,11.6,3,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",270,23,21,3,0.3,4,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",270,26,29.5,17.5,6.4,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",270,29,36.5,4.5,15.8,2,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",90,10,14,5.5,4,1,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",90,11.5,56,1,11.9,1,"",CPFMP,,
calaveras,BigTrees32,2020,prefire,"",90,8.5,12,3.5,5.3,2,"",CPFMP,,
calaveras,BigTrees33,2020,prefire,"",0,22,5.5,3,8,1,"",CPFMP,,
calaveras,BigTrees33,2020,prefire,"",90,55,50,10.5,22,2,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",0,12.5,17.5,12,3.4,3,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",0,15.5,16,9,1.9,3,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",0,35.5,65.5,34,17.1,4,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",0,48.5,93,33,39.4,2,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",0,8,10.5,7,3.7,3,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",180,75,87,60,11.2,5,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",270,11,11,10.5,1.1,3,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",270,12.5,10,5,1.6,3,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",270,8,9,7,1.9,3,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",270,8.5,12,7,4.2,3,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",90,11,17.5,2,9.3,2,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",90,17.5,30,1,12.7,2,"",CPFMP,,
calaveras,BigTrees34,2020,prefire,"",90,56,73.5,56,1,5,"",CPFMP,,
calaveras,BigTrees35,2020,prefire,"",na,na,na,na,na,na,"",CPFMP,,
calaveras,BigTrees36,2020,prefire,"",270,16.5,21.5,5,12.9,3,"",CPFMP,,
calaveras,BigTrees36,2020,prefire,"",270,20,24.5,1,6.5,1,"",CPFMP,,
calaveras,BigTrees36,2020,prefire,"",270,65,117,42,36.7,3,"",CPFMP,,
caples,1,2013-2018,prefire,,E,18,18,12,1.2,3,"",,,5
caples,1,2013-2018,prefire,,E,69,73,32,19.8,4,"",,,5
caples,1,2013-2018,prefire,,N,11,55,3,20.1,2,"",,,2
caples,1,2013-2018,prefire,,S,,,,,,"",,,2
caples,1,2013-2018,prefire,,W,14,15,11,0.9,3,"",,,5
caples,1,2013-2018,prefire,,W,20,33,30,3.8,4,"",,,5
caples,1,2013-2018,prefire,,W,25,30,25,1.3,2,"",,,5
caples,1,2013-2018,prefire,,W,50,40,30,11.2,4,"",,,5
caples,1,2013-2018,prefire,,W,70,90,65,9.6,4,"",,,5
caples,1,2019,prefire,immediate,E,,,,,,No CWD on transect,,,5
caples,1,2019,prefire,immediate,N,38,31,12,8.5,4,"",,,2
caples,1,2019,prefire,immediate,S,,,,,,No CWD on transect,,,2
caples,1,2019,prefire,immediate,W,68,90,67,27.3,3,"",,,5
caples,1,2020,postfire,1yr,N,24.6,16,15,8.4,3,ABCO,,,
caples,1,2020,postfire,1yr,W,53.8,60,48,2.7,2,PIJE,,,
caples,10,2013-2018,prefire,,E,,,,,,"",,,2
caples,10,2013-2018,prefire,,N,,,,,,"",,,5
caples,10,2013-2018,prefire,,S,,,,,,"",,,5
caples,10,2013-2018,prefire,,W,,,,,,"",,,2
caples,10,2019,prefire,immediate,E,,,,,,No CWD on transect,,,2
caples,10,2019,prefire,immediate,N,,,,,,No CWD on transect,,,5
caples,10,2019,prefire,immediate,S,,,,,,No CWD on transect,,,5
caples,10,2019,prefire,immediate,W,,,,,,No CWD on transect,,,2
caples,100,2013-2018,prefire,,N,70.2,90,70,1.1,3,"",,,16
caples,100,2013-2018,prefire,,S,50,69,38,5.1,3,"",,,16
caples,100,2013-2018,prefire,,S,78,81,43,11.3,3,"",,,16
caples,100,2019,prefire,immediate,E,,,,,,No CWD on transect,,,15
caples,100,2019,prefire,immediate,N,,,,,,No CWD on transect,,,16
caples,100,2019,prefire,immediate,S,14.5,23,9,27.9,3,"",,,16
caples,100,2019,prefire,immediate,W,,,,,,No CWD on transect,,,15
caples,100,2020,postfire,1yr,S,15,30,16,2.99,3,ABCO,,,
caples,101,2019,prefire,immediate,E,,,,,,No CWD on transect,,,55
caples,101,2019,prefire,immediate,N,,,,,,No CWD on transect,,,40
caples,101,2019,prefire,immediate,S,,,,,,No CWD on transect,,,40
caples,101,2019,prefire,immediate,W,,,,,,No CWD on transect,,,55
caples,102,2019,prefire,immediate,E,,,,,,No CWD on transect,,,38
caples,102,2019,prefire,immediate,N,,,,,,No CWD on transect,,,29
caples,102,2019,prefire,immediate,S,,,,,,No CWD on transect,,,10
caples,102,2019,prefire,immediate,W,,,,,,No CWD on transect,,,38
caples,103,2013-2018,prefire,,E,110,118,110,13.7,5,"",,,15
caples,103,2013-2018,prefire,,E,86,180,80,6,4,"",,,15
caples,103,2013-2018,prefire,,N,18,18,6,4.4,3,connected to log above,,,15
caples,103,2013-2018,prefire,,N,18,19,18,4.4,3,connected to log below,,,15
caples,103,2013-2018,prefire,,N,21,24,19,4.4,3,"",,,15
caples,103,2013-2018,prefire,,N,72,79,75,4.5,4,"",,,15
caples,103,2013-2018,prefire,,S,16,40,10,9.5,4,"",,,15
caples,103,2013-2018,prefire,,S,26,49,24,11.9,3,"",,,15
caples,103,2013-2018,prefire,,W,70,74,70,2.8,4,"",,,15
caples,103,2019,prefire,immediate,E,,,,,,No CWD on transect,,,15
caples,103,2019,prefire,immediate,N,,,,,,No CWD on transect,,,15
caples,103,2019,prefire,immediate,S,25,28,4,27.2,,"",,,15
caples,103,2019,prefire,immediate,S,28.5,31,24,25,,"",,,15
caples,103,2019,prefire,immediate,W,,,,,,No CWD on transect,,,15
caples,103,2020,postfire,1yr,S,24,24,23,7.8,2,PIJE,,,
caples,103,2020,postfire,1yr,S,25,26,16,2.26,3,ABCO,,,
caples,104,2013-2018,prefire,,E,20,23,11,6.1,3,"",,,10
caples,104,2013-2018,prefire,,E,28,37,26,1.6,4,"",,,10
caples,104,2013-2018,prefire,,N,50,56,11,19,5,"",,,10
caples,104,2013-2018,prefire,,N,53,64,50,3.9,3,"",,,10
caples,104,2013-2018,prefire,,N,57,62,51,9.7,4,"",,,10
caples,104,2013-2018,prefire,,N,9,10,7,2.5,3,"",,,10
caples,104,2013-2018,prefire,,S,14,36,2,12.5,3,"",,,10
caples,104,2013-2018,prefire,,S,19,26,15,11.2,3,"",,,10
caples,104,2013-2018,prefire,,S,20,20,6,2.55,3,"",,,10
caples,104,2013-2018,prefire,,W,44,44,40,8.5,3,"",,,10
caples,105,2013-2018,prefire,,E,11,21,6,7.5,3,"",,,16
caples,105,2013-2018,prefire,,E,36,42,36,10,4,"",,,16
caples,105,2013-2018,prefire,,W,63,75,50,16.2,4,"",,,16
caples,105,2013-2018,prefire,,W,64,78,64,6.7,4,"",,,16
caples,105,2019,prefire,immediate,E,25,33,12,1.3,4,"",,,16
caples,105,2019,prefire,immediate,N,,,,,,No CWD on transect,,,16
caples,105,2019,prefire,immediate,S,,,,,,No CWD on transect,,,16
caples,105,2019,prefire,immediate,W,48,47,28,16.8,2,Did not measure length south of boulder. Measured all parts to the north,,,16
caples,105,2020,postfire,1yr,W,51,30,21,4.7,3,CADE27,,,
caples,106,2013-2018,prefire,,N,54,57,54,8.3,3,"",,,43
caples,106,2013-2018,prefire,,S,71,94,41,11.4,4,"",,,43
caples,108,2013-2018,prefire,,E,13,19,9,6,3,"",,,18
caples,108,2013-2018,prefire,,S,12,12,8,1.55,3,"",,,18
caples,108,2013-2018,prefire,,S,33,36,27,1.9,3,"",,,18
caples,108,2013-2018,prefire,,S,9,15,6,4.5,3,"",,,18
caples,108,2013-2018,prefire,,W,19,19,19,2,3,"",,,18
caples,109,2013-2018,prefire,,E,11,13,2,4.1,2,"",,,14
caples,109,2013-2018,prefire,,E,31,31,17,7.6,3,"",,,14
caples,109,2013-2018,prefire,,E,52,53,52,3.8,3,"",,,14
caples,109,2013-2018,prefire,,N,10,11,8,2.1,3,"",,,14
caples,109,2013-2018,prefire,,N,13,15,12,1.2,3,"",,,14
caples,109,2013-2018,prefire,,N,25,32,24,2.2,3,"",,,14
caples,109,2013-2018,prefire,,N,30,29,42,4.6,3,"",,,14
caples,109,2013-2018,prefire,,N,81,103,31,32.9,3,"",,,14
caples,109,2013-2018,prefire,,W,11,11,3,4.7,3,"",,,14
caples,109,2013-2018,prefire,,W,12,16,2,7.9,3,"",,,14
caples,109,2013-2018,prefire,,W,15,30,7,5.7,4,"",,,14
caples,11,2013-2018,prefire,,N,10,21,8,7.2,2,"",,,11
caples,11,2013-2018,prefire,,N,16,19,6,5.6,2,"",,,11
caples,11,2013-2018,prefire,,N,30,28,13,7.4,4,"",,,11
caples,11,2013-2018,prefire,,S,100,120,4,25.5,3,"",,,2
caples,11,2013-2018,prefire,,W,,,,,,"",,,9
caples,11,2019,prefire,immediate,E,,,,,,No CWD on transect,,,3
caples,11,2019,prefire,immediate,N,,,,,,No CWD on transect,,,11
caples,11,2019,prefire,immediate,S,,,,,,No CWD on transect,,,2
caples,11,2019,prefire,immediate,W,12,27,4,12.5,1,"",,,9
caples,11,2020,postfire,1yr,W,10.5,23,4,10.2,2,ABCO,,,
caples,110,2013-2018,prefire,,E,13,13,2,7.6,4,"",,,24
caples,110,2013-2018,prefire,,S,14,43,3,14,3,"",,,24
caples,110,2013-2018,prefire,,S,17,26,14,8.6,3,"",,,24
caples,110,2013-2018,prefire,,S,222,222,45,31.2,4,"",,,24
caples,111,2013-2018,prefire,,E,10,10,8,1.26,3,"",,,45
caples,111,2013-2018,prefire,,E,15,20,14,1.9,3,"",,,45
caples,111,2013-2018,prefire,,N,21,23,13,5.8,3,"",,,45
caples,111,2013-2018,prefire,,S,20,20,20,1.7,4,"",,,45
caples,111,2013-2018,prefire,,S,32,32,32,5.3,3,"",,,45
caples,111,2013-2018,prefire,,W,13,41,12,7.5,3,"",,,45
caples,111,2019,prefire,immediate,E,13,14,8,1.5,2,"",,,45
caples,111,2019,prefire,immediate,N,,,,,,No CWD on transect,,,45
caples,111,2019,prefire,immediate,S,45,100,20,,1,"Freshly fallen, live when fell.",,,45
caples,111,2019,prefire,immediate,W,,,,,,No CWD on transect,,,45
caples,112,2013-2018,prefire,,E,22,27,22,2.8,4,"",,,10
caples,112,2013-2018,prefire,,E,42,42,26,5.1,4,"",,,10
caples,112,2013-2018,prefire,,S,21,28,17,1.1,3,"",,,10
caples,112,2013-2018,prefire,,S,32,36,8,13.1,3,"",,,10
caples,113,2013-2018,prefire,,S,8,11,2,2.1,3,"",,,25
caples,114,2013-2018,prefire,,E,78,89,75,8.6,5,"",,,15
caples,114,2013-2018,prefire,,N,9,15,3,4.5,1,"",,,15
caples,115,2019,prefire,immediate,E,,,,,,No CWD on transect,,,24
caples,115,2019,prefire,immediate,N,,,,,,No CWD on transect,,,24
caples,115,2019,prefire,immediate,S,,,,,,No CWD on transect,,,24
caples,115,2019,prefire,immediate,W,,,,,,No CWD on transect,,,24
caples,116,2013-2018,prefire,,N,12,13,7,2.25,3,"",,,15
caples,116,2013-2018,prefire,,N,25,25,13,4.8,3,"",,,15
caples,116,2013-2018,prefire,,W,11,22,7,2.8,3,"",,,15
caples,116,2013-2018,prefire,,W,12,18,9,1.2,3,"",,,15
caples,117,2013-2018,prefire,,E,20,28,11,2.1,3,"",,,26
caples,117,2013-2018,prefire,,S,11,12,2,5,3,"",,,26
caples,117,2019,prefire,immediate,E,,,,,,No CWD on transect,,,26
caples,117,2019,prefire,immediate,N,,,,,,No CWD on transect,,,26
caples,117,2019,prefire,immediate,S,12,12,6,3.2,1,Broken into pieces,,,26
caples,117,2019,prefire,immediate,W,,,,,,No CWD on transect,,,26
caples,117,2020,postfire,1yr,S,12,12,6,2.52,2,ABCO,,,
caples,118,2013-2018,prefire,,E,8.5,18,2,4.6,2,"",,,13
caples,118,2013-2018,prefire,,W,10,12,8,2.5,4,"",,,13
caples,118,2013-2018,prefire,,W,13,9,6,1.2,4,"",,,13
caples,118,2013-2018,prefire,,W,28,25,11,1,4,"",,,13
caples,118,2019,prefire,immediate,E,,,,,,No CWD on transect,,,13
caples,118,2019,prefire,immediate,N,,,,,,No CWD on transect,,,13
caples,118,2019,prefire,immediate,S,,,,,,No CWD on transect,,,13
caples,118,2019,prefire,immediate,W,30,30,30,13,4,"",,,13
caples,118,2020,postfire,1yr,E,10,13,3,3.6,2,CADE27,,,
caples,118,2020,postfire,1yr,E,15,15,7,4.45,1,CADE27,,,
caples,118,2020,postfire,1yr,W,32,63,25,9.4,3,CADE27,,,
caples,119,2013-2018,prefire,,N,72,65,46,1.7,4,"",,,46
caples,119,2013-2018,prefire,,S,12,15,5,2.65,3,"",,,46
caples,119,2013-2018,prefire,,S,35,43,21,3,3,"",,,46
caples,119,2013-2018,prefire,,W,48,66,62,13.8,4,"",,,46
caples,119,2019,prefire,immediate,E,,,,,,No CWD on transect,,,46
caples,119,2019,prefire,immediate,N,,,,,,No CWD on transect,,,46
caples,119,2019,prefire,immediate,S,,,,,,No CWD on transect,,,46
caples,119,2019,prefire,immediate,W,,,,,,No CWD on transect,,,46
caples,12,2013-2018,prefire,,E,17,19,3,5.4,3,"",,,15
caples,12,2013-2018,prefire,,N,28,60,8,22.3,3,"",,,5
caples,12,2013-2018,prefire,,N,45,50,24,6.9,2,"",,,5
caples,12,2013-2018,prefire,,S,13,17,11,3.4,3,"",,,5
caples,12,2013-2018,prefire,,W,,,,,,"",,,2
caples,12,2019,prefire,immediate,E,,,,,,No CWD on transect,,,15
caples,12,2019,prefire,immediate,N,,,,,,No CWD on transect,,,5
caples,12,2019,prefire,immediate,S,27,27,5,24,3,"",,,5
caples,12,2019,prefire,immediate,W,22,11,10,8,4,"",,,2
caples,12,2019,prefire,immediate,W,26,26,18,6,3,In three pieces,,,2
caples,12,2020,postfire,1yr,N,21,32,8,4.8,3,CADE27,,,
caples,12,2020,postfire,1yr,N,23,36,7,23.6,2,ABCO,,,
caples,120,2013-2018,prefire,,E,17,20,17,3.1,3,"",,,36
caples,120,2013-2018,prefire,,N,13,15,10,2.7,3,"",,,36
caples,120,2013-2018,prefire,,N,14,16,6,4.35,3,"",,,36
caples,120,2013-2018,prefire,,N,14,22,9,5.8,3,"",,,36
caples,120,2013-2018,prefire,,N,17,24,3,11.3,3,"",,,36
caples,120,2013-2018,prefire,,N,38,42,31,12,3,"",,,36
caples,120,2013-2018,prefire,,S,15,27,8,10.7,3,"",,,36
caples,120,2013-2018,prefire,,S,37,37,30,5.2,3,"",,,36
caples,120,2013-2018,prefire,,S,53,175,20,21.3,4,"",,,36
caples,120,2013-2018,prefire,,S,9,11,9,2.4,3,"",,,36
caples,120,2013-2018,prefire,,W,30,30,26,3.9,3,"",,,36
caples,121,2013-2018,prefire,,W,13,13,3,0.7,2,"",,,10
caples,121,2019,prefire,immediate,E,,,,,,No CWD on transect,,,10
caples,121,2019,prefire,immediate,N,,,,,,No CWD on transect,,,10
caples,121,2019,prefire,immediate,S,,,,,,No CWD on transect,,,10
caples,121,2019,prefire,immediate,W,,,,,,No CWD on transect,,,10
caples,122,2013-2018,prefire,,E,17,30,7,9.4,4,"",,,33
caples,122,2013-2018,prefire,,E,39,30,17,15.6,5,"",,,33
caples,122,2013-2018,prefire,,N,42,30,17,15.6,5,"",,,33
caples,122,2013-2018,prefire,,W,12,13,1,5.5,3,"",,,33
caples,122,2013-2018,prefire,,W,16,49,8,18.3,3,"",,,33
caples,122,2019,prefire,immediate,E,,,,,,No CWD on transect,,,33
caples,122,2019,prefire,immediate,N,,,,,,No CWD on transect,,,33
caples,122,2019,prefire,immediate,S,,,,,,No CWD on transect,,,33
caples,122,2019,prefire,immediate,W,,,,,,No CWD on transect,,,33
caples,123,2013-2018,prefire,,N,31,28,26,4,3,"",,,29
caples,123,2013-2018,prefire,,W,17,19,10,2.9,3,"",,,29
caples,123,2013-2018,prefire,,W,28,30,20,5.1,3,"",,,29
caples,124,2013-2018,prefire,,W,121,72,67,14.2,4,at intersect the bole is splayed out,,,11
caples,126,2013-2018,prefire,,E,17,25,4,4,3,"",,,26
caples,126,2013-2018,prefire,,E,20,24,11,4.6,3,"",,,26
caples,126,2013-2018,prefire,,S,11,25,1,6.5,3,"",,,26
caples,126,2013-2018,prefire,,S,14,79,9,9.7,3,"",,,26
caples,126,2013-2018,prefire,,W,12,19,0,4.4,3,"",,,26
caples,126,2013-2018,prefire,,W,14,17,0,7.6,3,"",,,26
caples,126,2013-2018,prefire,,W,21,42,6,9.9,3,"",,,26
caples,127,2013-2018,prefire,,E,31,40,25,2.6,3,"",,,21
caples,127,2013-2018,prefire,,N,13,16,10,1.9,4,"",,,21
caples,127,2013-2018,prefire,,S,66,66,50,2.1,3,"",,,21
caples,128,2013-2018,prefire,,E,11,30,5,6,3,"",,,35
caples,128,2013-2018,prefire,,E,30,50,30,16.1,3,"",,,35
caples,128,2013-2018,prefire,,S,21,55,5,14.7,2,"",,,35
caples,128,2013-2018,prefire,,W,25,30,10,9.2,3,"",,,35
caples,129,2013-2018,prefire,,W,14,27,6,14.3,3,"",,,26
caples,129,2019,prefire,immediate,E,13,13,12,1.05,1,"",,,26
caples,129,2019,prefire,immediate,E,17,18,5,3.7,1,"",,,26
caples,129,2019,prefire,immediate,E,6,25,5,2.5,1,"",,,26
caples,129,2019,prefire,immediate,E,7,20,4,4,1,"",,,26
caples,129,2019,prefire,immediate,N,,,,,,No CWD on transect,,,26
caples,129,2019,prefire,immediate,S,,,,,,No CWD on transect,,,26
caples,129,2019,prefire,immediate,W,23,20,11,1.05,1,"",,,26
caples,129,2019,prefire,immediate,W,23,39,15,3.2,2,"",,,26
caples,129,2020,postfire,1yr,W,28,18,16,6.1,2,ABCO,,,
caples,13,2013-2018,prefire,,E,,,,,,"",,,4
caples,13,2013-2018,prefire,,N,11,7,5,4.2,3,"",,,21
caples,13,2013-2018,prefire,,N,33,75,17,27.9,2,"",,,21
caples,13,2013-2018,prefire,,S,10,35,3,4.8,2,"",,,21
caples,13,2013-2018,prefire,,W,28,,,,5,"",,,8
caples,13,2019,prefire,immediate,E,59.5,70,22,20.5,3,"",,,4
caples,13,2019,prefire,immediate,N,11,10,6,373,2,"",,,21
caples,13,2019,prefire,immediate,S,,,,,,No CWD on transect,,,21
caples,13,2019,prefire,immediate,W,,,,,,No CWD on transect,,,8
caples,130,2013-2018,prefire,,E,10,12,9,1.4,3,"",,,46
caples,130,2013-2018,prefire,,N,12,12,9,1.2,4,"",,,46
caples,130,2013-2018,prefire,,W,42,52,14,13.3,3,"",,,46
caples,131,2013-2018,prefire,,E,10,13,2,3.5,3,"",,,33
caples,131,2013-2018,prefire,,E,10,15,10,5.1,5,"",,,33
caples,131,2013-2018,prefire,,E,10,16,2,4.4,3,"",,,33
caples,131,2013-2018,prefire,,N,10,10,10,1.1,3,"",,,33
caples,131,2013-2018,prefire,,N,14,47,2,8.2,5,"",,,33
caples,131,2013-2018,prefire,,N,24,24,24,1.35,4,"",,,33
caples,131,2013-2018,prefire,,S,11,11,11,1.9,3,"",,,33
caples,131,2013-2018,prefire,,S,28,35,28,4.2,4,"",,,33
caples,131,2013-2018,prefire,,S,35,35,35,2,3,"",,,33
caples,131,2013-2018,prefire,,W,14,20,7,3.8,2,"",,,33
caples,131,2013-2018,prefire,,W,20,21,12,5.8,3,"",,,33
caples,131,2013-2018,prefire,,W,55,78,50,7.2,3,"",,,33
caples,133,2013-2018,prefire,,E,11,21,11,6,3,"",,,23
caples,133,2013-2018,prefire,,N,13,13,10,1.1,4,"",,,23
caples,133,2013-2018,prefire,,N,27,31,24,2.7,4,"",,,23
caples,133,2013-2018,prefire,,S,12,15,2,8,1,"",,,23
caples,14,2013-2018,prefire,,E,,,,,,"",,,4
caples,14,2013-2018,prefire,,N,,,,,,"",,,13
caples,14,2013-2018,prefire,,S,,,,,,"",,,25
caples,14,2013-2018,prefire,,W,9,5,3,4,2,"",,,8
caples,14,2019,prefire,immediate,E,,,,,,No CWD on transect,,,4
caples,14,2019,prefire,immediate,N,8,2,12,5.3,3,Was fell with chainsaw,,,13
caples,14,2019,prefire,immediate,S,,,,,,No CWD on transect,,,25
caples,14,2019,prefire,immediate,W,,,,,,No CWD on transect,,,8
caples,15,2013-2018,prefire,,E,,,,,,"",,,2
caples,15,2013-2018,prefire,,N,,,,,,"",,,35
caples,15,2013-2018,prefire,,S,,,,,,"",,,49
caples,15,2013-2018,prefire,,W,,,,,,"",,,3
caples,15,2019,prefire,immediate,E,,,,,,No CWD on transect,,,2
caples,15,2019,prefire,immediate,N,,,,,,No CWD on transect,,,35
caples,15,2019,prefire,immediate,S,,,,,,No CWD on transect,,,49
caples,15,2019,prefire,immediate,W,,,,,,No CWD on transect,,,3
caples,16,2013-2018,prefire,,E,9,5,3,0.5,2,"",,,18
caples,16,2013-2018,prefire,,N,20,29,10,1.4,2,"",,,6
caples,16,2013-2018,prefire,,N,59,70,21,15.4,4,"",,,6
caples,16,2013-2018,prefire,,S,,,,,,"",,,2
caples,16,2013-2018,prefire,,W,190,170,42,8.1,4,"",,,22
caples,16,2013-2018,prefire,,W,21,7,4,5,3,"",,,22
caples,17,2013-2018,prefire,,E,,,,,,"",,,1
caples,17,2013-2018,prefire,,N,47,52,25,12.7,3,"",,,6
caples,17,2013-2018,prefire,,S,10,8,3,2.4,3,"",,,2
caples,17,2013-2018,prefire,,W,20,19,9,2,3,"",,,2
caples,17,2013-2018,prefire,,W,27,60,12,14.9,2,"",,,2
caples,18,2013-2018,prefire,,E,,,,,,"",,,13
caples,18,2013-2018,prefire,,N,,,,,,"",,,41
caples,18,2013-2018,prefire,,S,,,,,,"",,,28
caples,18,2013-2018,prefire,,W,,,,,,"",,,16
caples,18,2019,prefire,immediate,E,,,,,,No CWD on transect,,,13
caples,18,2019,prefire,immediate,N,,,,,,No CWD on transect,,,41
