ID,PlotID,Easting,Northing,Date1,SamplingTime,Treatment,Control,RXPlanArea,Observers,Datum/Zone,Slope,Aspect,Horiz Shape,Vert Shape,Slope Posit,CGA,SB_Fuel Model,Andersons_FuelModel,Exist Veg1,Exist Veg2,Exist Veg3,Fire Burn Severity,Plot Notes
90,121,,,11/14/2019,1,T,N,Y,"NH, SD",,,,,,,,,,,,,,West transect azmuth is 284 degrees
91,122,,,11/14/2019,1,T,N,Y,"CM, AM",,,,,,,,,,,,,,Capped wire found at center. Photos taken from center
92,129,,,11/12/2019,1,T,N,Y,"NH, AR",,,,,,,,,,,,,,
124,1,,,11/8/2019,1,T,N,Y,"CM, SD",,,,,,,,,,,,,,"Consumption of most CWD, Also much recruitment"
125,2,,,11/8/2019,1,T,N,Y,"CM, SD",,,,,,,,,,,,,,Rebar present. Also present at Plot 1
126,3,,,11/9/2019,1,T,N,Y,"CM, AR, MP, AM",,,,,,,,,,,,,,Rebar found!
127,4,,,11/10/2019,1,T,N,Y,"CM, AM",,,,,,,,,,,,,,"Rebar found. Partially in meadow, grasses composed the bulk of vegetation"
128,5,,,11/13/2019,1,T,N,Y,"KB,AM",,,,,,,,,,,,,,
129,6,,,11/13/2019,1,T,N,Y,"KB,AM",,,,,,,,,,,,,,
130,7,,,11/10/2019,1,T,N,Y,"CM, AM",,,,,,,,,,,,,,
131,8,,,11/13/2019,1,T,N,Y,"NH, AR",,,,,,,,,,,,,,"Consumption of duff and litter, white ash, altered soil structure. A few young conifer torched"
132,9,,,11/15/2019,1,T,N,Y,"KB,MP",,,,,,,,,,,,,,
133,10,,,11/15/2019,1,T,N,Y,"KB,MP",,,,,,,,,,,,,,
134,11,,,11/15/2019,1,T,N,Y,"MP, KB",,,,,,,,,,,,,,Previous labled E photo is really looking S. Previous photo S is really looking E. Previous photos show tape syretched too far. No tree tags.
135,12,,,11/10/2019,1,T,N,Y,"AR, MP",,,,,,,,,,,,,,"Photos taken outside looking in, rebar present, many tags melted"
136,13,,,11/10/2019,1,T,N,Y,"CM, AM",,,,,,,,,,,,,,"No tree tags, but rebar found."
137,14,,,11/15/2019,1,T,N,Y,"MP, KB",,,,,,,,,,,,,,
239,1,,,7/16/2020,2,T,N,Y,ZTC TRP HEP,,,,,,,70,TL1,,PIJE,ABCO,CADE,3,No seedlings present within or nearby plot.
240,5,,,7/9/2020,2,T,N,Y,"HEP, ZTC, TRP",,,,,,,100,TL3,,CADE,ABCO,PIJE,2,"Trail dissects plot; 495, 629, 630, 640, 641 dead and down -- added to overstory but didn't note decay class in field"
241,6,,,7/15/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,70,TU1,,CADE,PIJE,ABCO,3,No seedlings nearby besides Oak seedling 4.5 m away
242,7,,,7/8/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,90,TU1,,CADE,ABCO,PIJE,3,
243,8,,,7/13/2020,2,T,N,Y,"TRP, HEP, ZTC",,,,,,,100,TL1,,PIJE,CADE,ABCO,3,No nearby regenerated intolant seedling
244,9,,,7/28/2020,2,T,N,Y,"HEP, ZTC, TRP",,,,,,,65,SH1,,PIJE,ABCO,CADE,4,No seedlings nearby
245,10,,,7/28/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,75,TU1,,PIJE,ABCO,CADE,4,No tolerant seedlings nearby
246,11,,,7/28/2020,2,T,N,Y,"HEP, TRP, ZTC",,,,,,,85,TL3,,CADE,PIJE,ABCO,3,0.0m dig on N transect offset because of rock to 10cm to left. No tolerant seedlings nearby
247,12,,,7/24/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,95,TU1,,ABCO,CADE,PIJE,4,No nearby intolerant seedlings.
248,22,,,7/27/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,90,TU1,,ABCO,PIJE,,5,No nearby seedlings. Reestablished plot center based on the one tagged tree.
249,23,,,7/27/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,65,TU1,,ABCO,CADE,PIJE,2,No tolerant seedlings nearby
250,24,,,7/27/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,50,TU1,,ABCO,CADE,PILA,3,No nearby intolerant seedlings.
251,25,,,7/14/2020,2,T,N,Y,ZTC TRP HEP,,,,,,,50,SH1,,JUOC,PICO,PIJE,0,East transect consists of rock and sand. West transect is mainly live manzanita; low occurance of loose woody fuels.
252,26,,,7/14/2020,2,T,N,Y,ZTC TRP HEP,,,,,,,30,GS1,,PIJE,CADE,JUCO,1,No tolerant seedling present near plot. East fuel transect is all rock.
253,31,,,7/22/2020,2,T,N,Y,"TRP, ZTC, HEP,",,,,,,,100,GR2,,CADE,ABCO,PIJE,0,"Meadow plot: added more rebar, needed metal detector. No seedlings in plot, closest seedling on edge of meadow."
254,33,,,7/22/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,100,TU1,,PICO,CADE,ABCO,2,
255,34,,,7/22/2020,2,T,N,Y,"TRP, ZTC, HEP",,,,,,,40,TU1,,PIJE,CADE,,2,
256,35,,,7/29/2020,2,T,N,Y,"HEP, ZTC",,,,,,,3,TU1,,CADE,PIJE,ABCO,3,No seedlings in subplot
